,Unnamed: 0,Author_name,#Followers,Author FollowIndiadiadiag,Account Created,Verified,Location,Tweet,Length,Likes,Language,Retweets,Time,Cleaned,label_predict,py_lib Predictions
10,14,10WallStreet,845,544,2012-08-26 19:26:27+00:00,False,Citizen of The World,"#RussiaUkraIndiadiadiaeWar Wont End as a ""Frozen War."" #EU can't Afford Cost Indiadiadiaside #Europe's FailIndiadiadiag Socialist Economy. #UkraIndiadiadiae is NOT #Donbass: A #NeoNazi ""Play Ground""😉 https://t.co/eCV8Tx0Zeo #nytimes #wsj  #politico #huffpost #newsmax #npr #nyt #wapo #nbc #cbs #NATO #EU #g7 #drudge","[0, 279]",1,en,1,2022-04-03 15:25:02+00:00,russiaukraindiadiadiaewar wont end frozen war eu cant afford cost indiadiadiaside europes failindiadiadiag socialist economy ukraindiadiadiae donbass neonazi play ground,0,0
11,15,himanshu7saIndiadiadiai,18,194,2016-01-08 13:13:53+00:00,False,"Jaipur, Indiadiadiadia","RT @OTregub: A deer with deep burns rescued by local residents after Russian shellIndiadiadiag near ukraine on March 30, 2022. Picture taken on April 1…","[0, 140]",0,en,2266,2022-04-03 15:25:00+00:00,deer deep burns rescued local residents russian shellindiadiadiag near ukraine march picture taken april,0,0
12,16,lera_chaika14,129,71,2014-12-07 15:02:03+00:00,False,Чернівці,"Hello world. My name is Lera, I’m UkraIndiadiadiaian. 
This is my photo on the left.
But also this is my photo on the right. 
Each of us could be
raped by Russians and killed because we are UkraIndiadiadiaians.
#RussiaWarCrimes #Bucha #RussiaUkraIndiadiadiaeWar #UkraIndiadiadiaeUnderAttaсk #GenocideOfUkraIndiadiadiaians https://t.co/UPgXhgNMXJ","[0, 276]",0,en,1,2022-04-03 15:24:35+00:00,hello world name lera im ukraindiadiadiaian photo left also photo right us could raped russians killed ukraindiadiadiaians russiawarcrimes bucha russiaukraindiadiadiaewar ukraindiadiadiaeunderattak genocideofukraindiadiadiaians,0,0
13,17,Enzay13,3,11,2021-03-29 20:18:41+00:00,False,Lahore,@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more.,"[0, 95]",0,en,176,2022-04-03 15:24:14+00:00,account withheld india response legal demand learn,0,0
14,18,alyonational,6593,541,2010-01-29 19:54:29+00:00,False,Киев,"Hello world. My name is Alyona, i'm Ukrainian. 
This is my photo on the left.
But also this is my photo on the right. 
Each of us could be
raped by Russians and killed because we are Ukrainians.
#RussiaWarCrimes #Bucha #RussiaukraineWar #ukraineUnderAttaсk #GenocideOfUkrainians https://t.co/okIdf1hgAQ","[0, 278]",21,en,2,2022-04-03 15:24:09+00:00,hello world name alyona im ukrainian photo left also photo right us could raped russians killed ukrainians russiawarcrimes bucha russiaukrainewar ukraineunderattak genocideofukrainians,0,0
15,21,iTCodeMx,39,67,2010-09-18 02:42:52+00:00,False,Everywhere,"RT @Angelika_Kachur: Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the tormented. Sometimes we…","[0, 139]",0,en,32,2022-04-03 15:23:39+00:00,neutrality helps oppressor never victim silence encourages tormentor never tormented sometimes,0,1
16,22,KatzbyJ,239,198,2021-01-23 11:33:11+00:00,False,NYC,The #Bucha Massacre : Young boy murdered by Russian Army criminals in Bucha. #WarCrimes #RussiaukraineWar #ukraine https://t.co/AkvHDtBtUz,"[0, 138]",0,en,0,2022-04-03 15:23:24+00:00,bucha massacre young boy murdered russian army criminals bucha warcrimes russiaukrainewar ukraine,0,0
17,23,BeeHiveKicker,1512,2138,2017-09-22 00:46:52+00:00,False,USA,"RT @ArmedMaidan: Bucha-""Bodies rolled over by tanks turned into 'human rugs' while Russians shot dead even the elderly who got in their way…","[0, 140]",0,en,1,2022-04-03 15:23:23+00:00,buchabodies rolled tanks turned human rugs russians shot dead even elderly got way,0,0
18,25,Tone2TheNet,660,2037,2012-04-12 08:48:59+00:00,False,Kansas Cty! The Show Me State,"RT @OleksandrTrnvsk: Irpin, my home. Not in the sense that Irpin is my home, but LITERALLY my home, a flat where I live. It says hello to @…","[0, 140]",0,en,52,2022-04-03 15:22:58+00:00,irpin home sense irpin home literally home flat live says hello,0,1
19,29,g3jDoz54mNyj712,43,221,2011-06-24 15:20:41+00:00,False,Америка,"RT @ComeGentleNight: The price of Russian oil and gas.
The price of phone calls and negotiations.
The price of silence and indifference.
Th…","[0, 140]",0,en,1006,2022-04-03 15:21:45+00:00,price russian oil gas price phone calls negotiations price silence indifference th,0,0
20,30,anny_more,2370,246,2010-01-30 22:20:11+00:00,False,K.,"Hello world. My name is Ann, i'm Ukrainian. 
This is my photo on the left.
But also this is my photo on the right. 
Each of us could be
raped by Russians and killed because we are Ukrainians.
#RussiaWarCrimes #Bucha #RussiaukraineWar #ukraineUnderAttaсk #GenocideOfUkrainians https://t.co/6xUnDSFBzU","[0, 275]",11,en,3,2022-04-03 15:21:34+00:00,hello world name ann im ukrainian photo left also photo right us could raped russians killed ukrainians russiawarcrimes bucha russiaukrainewar ukraineunderattak genocideofukrainians,0,0
21,32,orange_capybara,112,88,2016-08-05 17:39:26+00:00,False,Луганщина ➡️ Харків,"Hello world. It's me. My name is  Zlata, i'm Ukrainian. 
This is my photo on the left.
But also this is my photo on the right. 
Each of us could be
raped by Russians and killed.
Just because we are Ukrainians.
#RussiaWarCrimes #RussiaukraineWar #GenocideOfUkrainians https://t.co/5r5iZ3Q8U0","[0, 266]",6,en,1,2022-04-03 15:21:15+00:00,hello world name zlata im ukrainian photo left also photo right us could raped russians killed ukrainians russiawarcrimes russiaukrainewar genocideofukrainians,0,0
22,33,antovor,29,106,2014-08-27 20:59:48+00:00,False,Україна. Донецьк. Київ,"RT @armyinformcomua: So it will be with every 🇷🇺 tank and soldier.

#StopRussia #RussiaukraineWar #RussianUkrainianWar #народна_війна https…","[0, 140]",0,en,20,2022-04-03 15:21:10+00:00,every tank soldier stoprussia russiaukrainewar russianukrainianwar _ https,1,1
23,34,visock,1308,849,2011-04-07 19:54:22+00:00,False,USA,"RT @KateasSheis: Hello world. My name is Kateryna, i'm Ukrainian. 
This is my photo on the left.
But also this is my photo on the right. 
E…","[0, 140]",0,en,7,2022-04-03 15:21:09+00:00,hello world name kateryna im ukrainian photo left also photo right e,0,1
24,35,MPlechiy,104,79,2013-12-04 13:44:36+00:00,False,Львів,@Velefor_D #GenocideOfUkrainians  #UkraineUnderAttack  #Ukraine   #Bucha  #NATO  #HumanRights  #StopRussia  #RussianWarCrimesInUkraine  #russiaukrainewar  #RussianArmy  #russiasoldierswarcriminals #RussianSoldiers  #WarCrimesOfUkraine  #StopPutinWar,"[11, 249]",0,und,0,2022-04-03 15:20:40+00:00,genocideofukrainians ukraineunderattack ukraine bucha nato humanrights stoprussia russianwarcrimesinukraine russiaukrainewar russianarmy russiasoldierswarcriminals russiansoldiers warcrimesofukraine stopputinwar,0,0
25,36,MPlechiy,104,79,2013-12-04 13:44:36+00:00,False,Львів,@rulajebreal #GenocideOfUkrainians  #UkraineUnderAttack  #Ukraine   #Bucha  #NATO  #HumanRights  #StopRussia  #RussianWarCrimesInUkraine  #russiaukrainewar  #RussianArmy  #russiasoldierswarcriminals #RussianSoldiers  #WarCrimesOfUkraine  #StopPutinWar,"[13, 251]",0,und,0,2022-04-03 15:20:33+00:00,genocideofukrainians ukraineunderattack ukraine bucha nato humanrights stoprussia russianwarcrimesinukraine russiaukrainewar russianarmy russiasoldierswarcriminals russiansoldiers warcrimesofukraine stopputinwar,0,0
26,37,MPlechiy,104,79,2013-12-04 13:44:36+00:00,False,Львів,@RBricis @Klitschko #GenocideOfUkrainians  #UkraineUnderAttack  #Ukraine   #Bucha  #NATO  #HumanRights  #StopRussia  #RussianWarCrimesInUkraine  #russiaukrainewar  #RussianArmy  #russiasoldierswarcriminals #RussianSoldiers  #WarCrimesOfUkraine  #StopPutinWar,"[20, 258]",0,und,0,2022-04-03 15:20:23+00:00,genocideofukrainians ukraineunderattack ukraine bucha nato humanrights stoprussia russianwarcrimesinukraine russiaukrainewar russianarmy russiasoldierswarcriminals russiansoldiers warcrimesofukraine stopputinwar,0,0
27,38,EvaPostovitiuk,582,101,2014-09-28 07:20:42+00:00,False,Ukraine,RT @nrybakov_txt: #GenocideOfUkrainians #UkraineUnderAttaсk #Ukraine #ukraine #Bucha #BuchaMassacre #NATO #humanrights #StopRussia #RussianWar…,"[0, 140]",0,und,22,2022-04-03 15:19:55+00:00,genocideofukrainians ukraineunderattak ukraine ukraine bucha buchamassacre nato humanrights stoprussia russianwar,0,0
28,39,calliandraha,18,91,2022-01-21 16:23:06+00:00,False,Canada,@DekaDeczny @Reuters Are these pics from Dunbas region conflict  or current?  It is difficult to prove where these pictures are or if these people were killed as result of Ukraine forces firing at the Russians. How do you even know in war who killed which civilians? #RussiaUkraineWar,"[21, 284]",0,en,0,2022-04-03 15:19:40+00:00,pics dunbas region conflict current difficult prove pictures people killed result ukraine forces firing russians even know war killed civilians russiaukrainewar,0,0
29,40,deborahandmark,1868,2966,2012-10-19 11:30:54+00:00,False,"South West, England",RT @TheLastPersont2: @BowenBBC @leedurant @ProducerKathy Harrowing to watch this BBC report from #Bucha and #Hostomel - but important to wa…,"[0, 140]",0,en,5,2022-04-03 15:19:28+00:00,harrowing watch bbc report bucha hostomel important wa,0,1
30,41,Cazalette,67,239,2011-07-07 20:01:05+00:00,False,ex Sarf Lundun now Sarfsea,"RT @Independent: - #RussiaUkraineWar 

- Russia committing genocide, Zelensky says after ‘civilians executed in Bucha’

FOLLOW LIVE
https:/…","[0, 140]",0,en,2,2022-04-03 15:19:17+00:00,russiaukrainewar russia committing genocide zelensky says civilians executed bucha follow live https,0,0
31,42,ArmedMaidan,491,458,2022-02-28 17:43:30+00:00,False,"Quebec, Canada","Bucha-""Bodies rolled over by tanks turned into 'human rugs' while Russians shot dead even the elderly who got in their way,"" civilians shot, young girls raped, murdered: report

https://t.co/5xhMOWwA9K

#StandWithUkraine #UkraineUnderAttack #RussiaUkraineWar #GenocideOfUkrainians","[0, 280]",0,en,1,2022-04-03 15:19:10+00:00,buchabodies rolled tanks turned human rugs russians shot dead even elderly got way civilians shot young girls raped murdered report,0,0
32,43,nmmodr,29,223,2014-12-07 16:56:32+00:00,False,"Maryville, IL","RT @ClearBlueSee: NEW FOOTAGE - Russian President Putin discusses the Ukraine war over dinner with his generals

 #ukraine #russia #Ukraine…","[0, 140]",0,en,38,2022-04-03 15:19:07+00:00,new footage russian president putin discusses ukraine war dinner generals ukraine russia ukraine,0,0
33,45,romanrober8,446,494,2015-09-06 12:08:03+00:00,False,"Amsterdam, Nederland","RT @Independent: - #RussiaUkraineWar 

- Putin’s troops committed genocide near ukraine, says mayor

FOLLOW LIVE
https://t.co/8SwiIpd7w9","[0, 133]",0,en,54,2022-04-03 15:17:56+00:00,russiaukrainewar putins troops committed genocide near ukraine says mayor follow live,0,0
34,47,another_xtori,39,3,2013-10-12 05:45:28+00:00,False,,"🇷🇺🇺🇦 A captured soldier of the Armed Forces of Ukraine, tells how, under drugs, he fired at the residential areas of Mariupol on the orders of the GUR.
 
 “I understood that I was shooting at civilians, but I was on drugs ... I had to follow orders” #Russia #RussiaUkraineWar https://t.co/kZSmFBzZCu","[0, 275]",3,en,1,2022-04-03 15:17:26+00:00,captured soldier armed forces ukraine tells drugs fired residential areas mariupol orders gur understood shooting civilians drugs follow orders russia russiaukrainewar,0,0
35,48,KarolinaPawow12,68,34,2020-10-03 12:25:45+00:00,False,,RT @hyepatriarch: #Armenia is in a insuperable position due to #RussiaUkraineWar. With #Russia declining &amp; #Azerbaijan bent on ethnic clean…,"[0, 144]",0,en,25,2022-04-03 15:17:24+00:00,armenia insuperable position due russiaukrainewar russia declining amp azerbaijan bent ethnic clean,0,0
36,50,LouDrum451,3,639,2022-03-06 03:48:41+00:00,False,USA,"RT @EuromaidanPR: #Russian Su-35 shot down today near #Izyum, #Kharkiv region
#Ukraine️ #UkraineUnderAttack #RussiaUkraineWar https://t.co/…","[0, 140]",0,en,11,2022-04-03 15:16:54+00:00,russian su shot today near izyum kharkiv region ukraine ukraineunderattack russiaukrainewar,0,0
37,52,Aalghelani,360,392,2013-07-12 18:37:05+00:00,False,,"RT @g4_p6: #RussianUkrainianWar
#UkraineUnderAttaсk 
#RussiaUkraineWar 
Which Country are you supporting?🇷🇺🇺🇦
RT For Russia        Like For…","[0, 140]",0,und,30,2022-04-03 15:16:46+00:00,russianukrainianwar ukraineunderattak russiaukrainewar country supporting rt russia like,1,0
38,53,John_Frank1954,1036,174,2016-03-14 22:39:33+00:00,False,,"6/ #RussiaUkraineWar In that regard:
https://t.co/mkRSJue3Gk","[0, 60]",0,en,0,2022-04-03 15:16:28+00:00,russiaukrainewar regard,0,0
39,55,KitUy1116,643,1389,2019-01-03 10:47:25+00:00,False,,"RT @Nieuwsprik_neus: 🇩🇪🇷🇺Multiple pro-Russia rallies were held today across Germany
not everyone is pro-NATO as the mainstream media would…","[0, 139]",0,en,16,2022-04-03 15:16:12+00:00,multiple prorussia rallies held today across germany everyone pronato mainstream media would,0,0
40,57,pykalisto_pasi,550,2799,2015-02-02 18:20:40+00:00,False,Helsinki,"RT @Independent: - #RussiaUkraineWar 

- Russian missiles hit oil refinery in Ukraine’s key port of Odesa
https://t.co/U4j8s2Hiuw","[0, 129]",0,en,11,2022-04-03 15:15:41+00:00,russiaukrainewar russian missiles hit oil refinery ukraines key port odesa,0,0
41,60,RenKeNews,48942,401,2009-11-20 19:45:04+00:00,False,"Brussels, Belgium","Russia’s mass media and telecommunications watchdog (Roskomnadzor) said on Sunday it has launched a check in respect of several Russian mass media outlets, which interviewed Ukrainian President Vladimir Zelensky. -- TASS  #RussiaUkraineWar #Russia #Ukraine
https://t.co/6Ukollhqfj","[0, 280]",6,en,0,2022-03-27 23:59:26+00:00,russias mass media telecommunications watchdog roskomnadzor said sunday launched check respect several russian mass media outlets interviewed ukrainian president vladimir zelensky tass russiaukrainewar russia ukraine,0,0
42,62,bluedogprinting,585,1090,2009-06-06 10:03:28+00:00,False,"Austin, Texas","RT @kimtcadwell: Russia is bombing Lutsk, Kharkiv, Zhytomyr, Rivne, Mariupol. 
📢Get Russia out of Ukraine NOW! 

@JustinTrudeau  @Bundeskan…","[0, 140]",0,und,1,2022-03-27 23:59:14+00:00,russia bombing lutsk kharkiv zhytomyr rivne mariupol get russia ukraine,0,0
43,63,ReignsKapato,723,1690,2020-07-10 23:15:34+00:00,False,"Greater Accra, Ghana","Cina soul screenshot #TheJonesBond2022 #TerryTreasure𓃵 #MphoWaBadimo𓃵 
#Trending #GreysAnatomy #RussiaUkraineWar https://t.co/wIkzlDlQmS","[0, 112]",2,en,0,2022-03-27 23:59:00+00:00,cina soul screenshot thejonesbond terrytreasure mphowabadimo trending greysanatomy russiaukrainewar,1,0
44,64,AMRANIXXI,96,73,2021-07-12 04:25:40+00:00,False,"Guadalajara, Jalisco",Have you heard anything about this in the western (((disinformation media)))? #ZOG #USA #WWIII #Biden #Putin #Russia #America #Ukraine #RussiaUkraineWar #UkraineUnderAttaсk https://t.co/29ZAR2G7L6,"[0, 172]",0,en,1,2022-03-27 23:58:38+00:00,heard anything western disinformation media zog usa wwiii biden putin russia america ukraine russiaukrainewar ukraineunderattak,0,0
45,66,robertbridge,2996,828,2009-09-02 03:04:28+00:00,False,"Tottenham, London",RT @georgegalloway: I’m in the building #RussiaUkraineWar #Russia #Ukraine #Biden #Putin #Zelenskiy #NATO #AzovBattalion #Nazi https://t.co…,"[0, 140]",0,en,15,2022-03-27 23:58:18+00:00,im building russiaukrainewar russia ukraine biden putin zelenskiy nato azovbattalion nazi,0,0
46,68,almansoorngw3,289,675,2018-04-25 11:35:33+00:00,False,Straight from Mars ,"RT @Ashwin__369: #RussianUkrainianWar
#UkraineUnderAttaсk 
#RussiaUkraineWar 
Which Country are you supporting?🇷🇺🇺🇦
RT For Russia        Li…","[0, 140]",0,en,760,2022-03-27 23:58:06+00:00,russianukrainianwar ukraineunderattak russiaukrainewar country supporting rt russia li,1,0
47,69,LuisRamirezPri2,936,1587,2017-04-06 16:54:02+00:00,False,,"RT @PalabrasdePepe: 🇷🇺🇺🇦 #Rusia #Ucrania  #RussiaUkraineWar #Ukraine #desnazificación #desnazification

▶️ The second part of street fighti…","[0, 140]",0,es,7,2022-03-27 23:57:53+00:00,rusia ucrania russiaukrainewar ukraine desnazificacin desnazification second part street fighti,0,0
48,70,_joserramirez_,175,232,2010-05-06 01:29:22+00:00,False,,RT @DenisRogatyuk: #RussiaUkraineWar: I have no doubt that the Western media will soon be using this photo with a headline of “victims of R…,"[0, 140]",0,en,380,2022-03-27 23:57:51+00:00,russiaukrainewar doubt western media soon using photo headline victims r,0,0
49,72,IndianRiverMan,235,748,2011-09-08 00:41:46+00:00,False,,"RT @EuromaidanPR: The British Ministry of Defense intelligence has published a new map of #Russia's war in #Ukraine.
#RussiaUkraineWar http…","[0, 140]",0,en,42,2022-03-27 23:57:48+00:00,british ministry defense intelligence published new map russias war ukraine russiaukrainewar http,0,0
50,73,NichkaNightUA,1354,515,2018-01-23 18:39:49+00:00,False,,"RT @armyinformcomua: #RussiaUkraineWar began from cultural expansion. It's existential confrontation. 🇷🇺 bombs on Mariupol, Kharkiv, Cherni…","[0, 140]",0,en,36,2022-03-27 23:57:40+00:00,russiaukrainewar began cultural expansion existential confrontation bombs mariupol kharkiv cherni,0,0
51,74,TazmanLFC1965,2004,3270,2010-12-19 15:02:46+00:00,False,Wales,"RT @PrateekPratap5: Mariupol, before and after
#UkraineUnderAttaсk #RussiaUkraineWar https://t.co/jgCOPiIK9n","[0, 108]",0,en,133,2022-03-27 23:57:23+00:00,mariupol ukraineunderattak russiaukrainewar,0,0
52,75,jason78proton,74,139,2010-04-15 08:03:31+00:00,False,"Philadelphia, PA, USA","Woman Found Tortured in School Basement ""Military Base"" in Mariupol https://t.co/7c3iXPeQTI via @YouTube

#RussiaUkraineWar #AZOVNAZIS #UkraineRussianWar #UkraineNazis 
#UkraineWarCrimes","[0, 186]",1,en,1,2022-03-27 23:57:22+00:00,woman found tortured school basement military base mariupol,0,0
53,76,phutc7274,1788,4996,2014-06-30 11:33:30+00:00,False,Not Farmville ,"RT @EuromaidanPR: Russia – Ukraine war news: daily updates as of March 27, 2022 https://t.co/eeT2z90zEO 

#RussiaUkraineWar https://t.co/mO…","[0, 140]",0,en,42,2022-03-27 23:56:50+00:00,russia ukraine war news daily updates march,0,0
54,78,BukiWilliams,804,544,2011-09-16 18:40:23+00:00,False,NYC. via London,RT @NaveedAJamali: There is a person parroting Russian talking points who I know was the subject of a counterintel inv while in Gov svc. Th…,"[0, 140]",0,en,401,2022-03-27 23:56:45+00:00,person parroting russian talking points know subject counterintel inv gov svc th,0,0
55,79,NewsKlw,3015,414,2020-12-31 18:09:46+00:00,False,Global,"RT @RussiaVsWorld_: Children in the bunker. #Ukraine 

#StopPutinNOW #RussiaUkraineWar #UkraineUnderAttaсk https://t.co/jaD9860txJ","[0, 130]",0,en,15,2022-03-27 23:56:40+00:00,children bunker ukraine stopputinnow russiaukrainewar ukraineunderattak,0,0
56,80,marthafusca,80,74,2015-09-24 22:48:23+00:00,False,,This is really shameful. #RussiaUkraineWar #PutinHitler https://t.co/G5d2CZf9EI,"[0, 55]",0,en,0,2022-03-27 23:56:07+00:00,really shameful russiaukrainewar putinhitler,0,0
57,81,subyroy,2719,11,2010-04-27 18:49:13+00:00,False,,"RT @RussiaVsWorld_: Civilians greeted #Russian vehicles with #Molotov cocktails in a village in the #Kyiv region. #Ukraine 

#UkraineUnderA…","[0, 140]",0,en,57,2022-03-27 23:55:52+00:00,civilians greeted russian vehicles molotov cocktails village kyiv region ukraine ukraineundera,0,0
58,82,amoyal,5717,5306,2008-08-20 18:02:59+00:00,False,Tiohtià:ke,Tell me again how there are no Nazis in #ukraine #UkraineRussianWar #RussiaUkraineWar https://t.co/4xkj4RWim6,"[0, 85]",1,en,0,2022-03-27 23:55:39+00:00,tell nazis ukraine ukrainerussianwar russiaukrainewar,0,0
59,86,GorantlaRakesh,1343,1508,2009-09-12 19:40:00+00:00,False,Kuala Lumpur City,"RT @timesofindia: Ukraine, Russia to hold in-person talks in Turkey from March 28-30

#RussiaUkraineWar live updates:  https://t.co/aYt8dKO…","[0, 140]",0,en,7,2022-03-27 23:53:45+00:00,ukraine russia hold inperson talks turkey march russiaukrainewar live updates,0,0
60,87,cub_ietz,152,165,2012-10-19 01:41:43+00:00,False,"Semarang, Jawa Tengah","RT @cub_ietz: @Nur_ggwp_69 @Ralvero @sekuyaofficial 1. Buy #SKUY #SEKUYA @sekuyaofficial 
2. Hodl enjoy reflection + autoburn
3. Repeat

#C…","[0, 140]",0,en,2,2022-03-27 23:53:05+00:00,buy skuy sekuya hodl enjoy reflection autoburn repeat c,1,0
61,88,cub_ietz,152,165,2012-10-19 01:41:43+00:00,False,"Semarang, Jawa Tengah","@Nur_ggwp_69 @Ralvero @sekuyaofficial 1. Buy #SKUY #SEKUYA @sekuyaofficial 
2. Hodl enjoy reflection + autoburn
3. Repeat

#Crypto is Financial Freedom 🏝🏝

#Binance
#SKUYARMY #Putin #Russia #BTC #Bitcoin #Metaverse #RussiaUkraineWar #cryptocurrency #NFT https://t.co/Ve0zm0O3ra","[38, 277]",5,en,2,2022-03-27 23:53:01+00:00,buy skuy sekuya hodl enjoy reflection autoburn repeat crypto financial freedom binance skuyarmy putin russia btc bitcoin metaverse russiaukrainewar cryptocurrency nft,1,0
62,89,Stephduchili,2209,1309,2011-11-22 11:49:35+00:00,False,"Santiago, Chile","RT @actis_esteban: #RussiaUkraineWar
#MARIUOPOL 

Before                                                After https://t.co/ihn9ArOVdQ","[0, 133]",0,en,15,2022-03-27 23:52:49+00:00,russiaukrainewar mariuopol,0,0
63,91,Halexyt,105,430,2012-04-05 23:17:29+00:00,False,,"IL BALBETTIO DI BIDEN  #Mariupol ""MATRIUPOL ... METROPOL""  😅😂 #RussiaUkraineWar https://t.co/I1BVLFQJNp","[0, 79]",4,it,3,2022-03-27 23:52:46+00:00,il balbettio di biden mariupol matriupol metropol russiaukrainewar,0,1
64,92,AustraliaVote,10308,8606,2011-07-12 07:44:34+00:00,False, Bne & Goldie. Yugambeh people,"If #Russia uses #NuclearWeapons in #Ukraine it must except the probability that Russia will cease to exist as a nation, as we know it today

#RussiaUkraineWar #Ukraine #Putin 

 https://t.co/5cRFaJ9d9r","[0, 201]",1,en,0,2022-03-27 23:52:38+00:00,russia uses nuclearweapons ukraine must except probability russia cease exist nation know today russiaukrainewar ukraine putin,0,0
65,94,H_Abouelmaali,21,273,2010-10-02 10:11:36+00:00,False,Morocco,"This is the Doomsday Plane, AKA National Airborne Operations Centers. It is built on the same platform as Boeing 747-B200.  The aircraft is nuke-proof. It was sent along with @POTUS on his trip to Europe. That's a redneck move from Joe. Very cool, though. 
#RussiaUkraineWar https://t.co/J1sC3YCs2c","[0, 274]",0,en,0,2022-03-27 23:52:27+00:00,doomsday plane aka national airborne operations centers built platform boeing b aircraft nukeproof sent along trip europe thats redneck move joe cool though russiaukrainewar,1,0
66,95,PTweeeets,1706,1885,2009-03-30 18:33:17+00:00,False,,RT @Telegraph: Has the US president made the worst gaffe of his career by calling for the Russian leader to be removed over Ukraine attack?…,"[0, 140]",0,en,43,2022-03-27 23:52:19+00:00,us president made worst gaffe career calling russian leader removed ukraine attack,0,0
